verdict	doc	line	kind	token	ref	note	context
CONFIRMED	1 Peter/book-overview-1-peter.md	103	grk	Εὐλογητός	1Pet 1:3		Εὐλογητός blessing (1:3)
CONFIRMED	1 Peter/book-overview-1-peter.md	104	grk	Ἀγαπητοί	1Pet 2:11		Ἀγαπητοί (2:11)
CONFIRMED	1 Peter/book-overview-1-peter.md	105	grk	Ἀγαπητοί	1Pet 4:12		Ἀγαπητοί (4:12)
CONFIRMED	1 Peter/book-overview-1-peter.md	123	grk	ὑπογραμμός	1Pet 2:21		Christ's suffering is both example (ὑπογραμμός, 2:21
CONFIRMED	1 Peter/book-overview-1-peter.md	160	grk	πύρωσις	1Pet 4:12		The πύρωσις of 4:12 returns to this same vocabulary
CROSS-TESTAMENT	1 Peter/book-overview-1-peter.md	181	grk	ἀναπαύεται	Isa 11:2		The present tense ἀναπαύεται replaces Isaiah 11:2 LXX's future ἀναπαύσεται
CROSS-TESTAMENT	1 Peter/book-overview-1-peter.md	181	grk	ἀναπαύσεται	Isa 11:2		The present tense ἀναπαύεται replaces Isaiah 11:2 LXX's future ἀναπαύσεται
FAILED	1 Peter/book-overview-1-peter.md	182	grk	ἀπολογία	1Pet 2:9		the witness commission at 2:9 and the ἀπολογία at 3:15)
CONFIRMED	1 Peter/book-overview-1-peter.md	182	grk	ἀπολογία	1Pet 3:15		the witness commission at 2:9 and the ἀπολογία at 3:15)
CROSS-TESTAMENT	1 Peter/book-overview-1-peter.md	187	grk	χεὶρ	Exod 3:19		the "mighty hand" (χεὶρ κραταιά) is rooted in the Exodus (Exod 3:19
CROSS-TESTAMENT	1 Peter/book-overview-1-peter.md	187	grk	κραταιά	Exod 3:19		the "mighty hand" (χεὶρ κραταιά) is rooted in the Exodus (Exod 3:19
FAILED	1 Peter/book-overview-1-peter.md	197	grk	ναός	1Pet 2:4-10		This is not a full-blown temple theology (Peter never uses ναός) but the imagery is pervasively temple-adjacent, and the preacher should feel its cumulative resonance, especially when preaching 2:4–10 and 4:12–19.
FAILED	1 Peter/book-overview-1-peter.md	197	grk	ναός	1Pet 4:12-19		This is not a full-blown temple theology (Peter never uses ναός) but the imagery is pervasively temple-adjacent, and the preacher should feel its cumulative resonance, especially when preaching 2:4–10 and 4:12–19.
CROSS-TESTAMENT	1 Peter/book-overview-1-peter.md	211	heb	אֲנִי	1Pet 48:20		In Isaiah 40–48, the sevenfold "I am He" (אֲנִי הוּא) establishes God's identity, and the sevenfold "fear not" (אַל־תִּירָא) equips his people emotionally, so that by 48:20 they are ready to be sent
CROSS-TESTAMENT	1 Peter/book-overview-1-peter.md	211	heb	הוּא	1Pet 48:20		In Isaiah 40–48, the sevenfold "I am He" (אֲנִי הוּא) establishes God's identity, and the sevenfold "fear not" (אַל־תִּירָא) equips his people emotionally, so that by 48:20 they are ready to be sent
CROSS-TESTAMENT	1 Peter/book-overview-1-peter.md	211	heb	אַל־תִּירָא	1Pet 48:20		In Isaiah 40–48, the sevenfold "I am He" (אֲנִי הוּא) establishes God's identity, and the sevenfold "fear not" (אַל־תִּירָא) equips his people emotionally, so that by 48:20 they are ready to be sent
CONFIRMED	1 Peter/book-overview-1-peter.md	213	grk	ἀπολογία	1Pet 3:15		The ἀπολογία of 3:15 extends the commission into the specific context of suffering under pressure, and the ἀναστροφή vocabulary throughout the letter (1:15, 18
CONFIRMED	1 Peter/book-overview-1-peter.md	213	grk	ἀναστροφή	1Pet 1:15		The ἀπολογία of 3:15 extends the commission into the specific context of suffering under pressure, and the ἀναστροφή vocabulary throughout the letter (1:15, 18
FAILED	1 Peter/book-overview-1-peter.md	315	grk	ἀμαράντινον	1Pet 1:18		The thread also includes the "perishable" counterparts: not with perishable things like silver or gold (1:18), the unfading crown of glory (5:4, ἀμαράντινον
CONFIRMED	1 Peter/book-overview-1-peter.md	315	grk	ἀμαράντινον	1Pet 5:4		The thread also includes the "perishable" counterparts: not with perishable things like silver or gold (1:18), the unfading crown of glory (5:4, ἀμαράντινον
CROSS-TESTAMENT	1 Peter/book-overview-1-peter.md	349	grk	εὐαγγελίζω	Isa 40:9		**The "herald/good news" (εὐαγγελίζω) thread:** Isaiah 40:9 commissions a herald to announce regime change ("Here is your God!"), and Isaiah 52:7 celebrates the herald announcing the servant's accomplished work ("Your God reigns!")
CROSS-TESTAMENT	1 Peter/book-overview-1-peter.md	349	grk	εὐαγγελίζω	Isa 52:7		**The "herald/good news" (εὐαγγελίζω) thread:** Isaiah 40:9 commissions a herald to announce regime change ("Here is your God!"), and Isaiah 52:7 celebrates the herald announcing the servant's accomplished work ("Your God reigns!")
CONFIRMED	1 Peter/book-overview-1-peter.md	369	grk	ἀπολογία	1Pet 3:15		The witness vocation integrates with the fear and herald threads: fear is displaced (3:14) so that witness becomes possible (3:15), and the witness announces the accomplished fact (herald vocabulary) through both word (ἀπολογία) and conduct (ἀναστροφή)
NEAR-MISS	1 Peter/book-overview-1-peter.md	369	grk	ἀναστροφή	1Pet 3:15	1Pet 3:16	The witness vocation integrates with the fear and herald threads: fear is displaced (3:14) so that witness becomes possible (3:15), and the witness announces the accomplished fact (herald vocabulary) through both word (ἀπολογία) and conduct (ἀναστροφή)
CONFIRMED	1 Peter/book-overview-1-peter.md	377	grk	ὑπογραμμός	1Pet 2:21		Christ as example (ὑπογραμμός, 2:21)
FAILED	1 Peter/book-overview-1-peter.md	538	grk	ἀγαθοποιέω	1Pet 2:12		"Do good" (ἀγαθοποιέω) is not passive niceness but counter-cultural strategy.** In a context where Christians are accused of being evildoers (2:12), conspicuous goodness is an offensive weapon
CONFIRMED	2-3 John/2-3-john-dig-deeper-macro-synthesis.md	103	grk	ἔρχομαι	John 1:11-12		- **[v2.0] The reception cluster (2 John).** The 2 John run derived, from the letter's own two verbs (ἔρχομαι, λαμβάνω), a four-point Gospel cluster: **John 1:11–12** (he came, his own did not receive), **John 5:43** ("I have come in my Father's name and you d
CONFIRMED	2-3 John/2-3-john-dig-deeper-macro-synthesis.md	103	grk	λαμβάνω	John 1:11-12		- **[v2.0] The reception cluster (2 John).** The 2 John run derived, from the letter's own two verbs (ἔρχομαι, λαμβάνω), a four-point Gospel cluster: **John 1:11–12** (he came, his own did not receive), **John 5:43** ("I have come in my Father's name and you d
